inst_id,created_by_user_id,name,description,status
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Full Stack Developers Guild,"A community for frontend, backend, and mobile engineers to share knowledge, projects, and career advice.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,AI & Machine Learning Circle,"Discussions on neural networks, LLMs, computer vision, and applied AI in production.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Startup Founders Network,"Early-stage founders sharing product validation, fundraising, and growth strategies.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Product Managers Hub,"Roadmapping, stakeholder management, and product-led growth discussions.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,UI/UX Design Collective,"Design systems, user research, accessibility, and interface critiques.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Open Source Contributors,Collaborate on open-source projects and find maintainers seeking contributors.,active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Cybersecurity Alliance,"Security best practices, penetration testing, and vulnerability research.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,DevOps & Cloud Engineers,"CI/CD pipelines, Kubernetes, AWS, and scalable infrastructure discussions.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Data Science Society,"Data analysis, visualization, statistics, and predictive modeling.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Mobile App Builders,"iOS, Android, React Native, and cross-platform app development.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Fitness & Wellness Club,"Workouts, nutrition tips, and accountability challenges.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Book Lovers Circle,"Monthly book picks, author discussions, and reading challenges.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Photography Enthusiasts,"Landscape, portrait, and street photography critiques and tips.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Crypto & Web3 Forum,"Blockchain technology, DeFi projects, and decentralized applications.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Gamers Unite,"PC, console, and indie gaming discussions and tournaments.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Music Producers Lab,"Beat making, mixing, mastering, and music collaboration.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Investing & Personal Finance,"Stock market insights, long-term investing, and wealth building.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Remote Workers Collective,"Productivity hacks, remote job leads, and digital nomad lifestyle.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Entrepreneurs & Creators,"Content creators, indie hackers, and online business builders.",active
391848ae-e6c6-43ec-a34c-e6ce06f0d842,4813d507-9b97-4bb7-bee4-39ec47070889,Sustainability & Climate Action,"Environmental awareness, green tech, and climate advocacy.",active
